Gene,Annotation,Presence_pattern,Functional_category,M5_locus,M6_locus,M8_locus,I6_locus,In_novel_region
group_4239,hypothetical protein,core,hypothetical_DUF,NKFIDM_04575,KMIGAE_04575,ILIHOP_04575,3_refound_105_pseudo,no
rnpM,RNase P modulator RnpM,core,other,NKFIDM_03746,KMIGAE_03746,ILIHOP_03746,cds-WP_036622330.1,no
group_4238,Thioredoxin domain-containing protein,core,other,NKFIDM_02854,KMIGAE_02854,ILIHOP_02854,cds-WP_036623653.1,no
ykkD,Multidrug resistance protein ykkD,core,drug_efflux,NKFIDM_02282,KMIGAE_02282,ILIHOP_02282,cds-WP_036624065.1,no
qacE,QacE family quaternary ammonium compound efflux SMR transporter,core,drug_efflux,NKFIDM_02207,KMIGAE_02207,ILIHOP_02207,cds-WP_036624121.1,no
group_4237,Pyrimidine/purine nucleoside phosphorylase,core,other,NKFIDM_01654,KMIGAE_01654,ILIHOP_01654,cds-WP_036625106.1,no
group_4234,ABC transporter permease subunit,core,transport,NKFIDM_00372,KMIGAE_00372,ILIHOP_00372,cds-WP_051985780.1,no
group_4232,Mor transcription activator family protein,core,other,NKFIDM_05643,KMIGAE_05643,ILIHOP_05643,cds-WP_240751942.1,no
group_4231,ArsR family transcriptional regulator,core,regulatory,NKFIDM_05640,KMIGAE_05640,ILIHOP_05640,cds-WP_036625994.1,no
group_4230,LiaF transmembrane domain-containing protein,core,other,NKFIDM_05469,KMIGAE_05469,ILIHOP_05469,cds-WP_036619784.1,no
group_4229,thioredoxin,core,other,NKFIDM_05248,KMIGAE_05248,ILIHOP_05248,cds-WP_036620128.1,no
group_4228,UPF0473 protein J41TS4_45300,core,other,NKFIDM_04847,KMIGAE_04847,ILIHOP_04847,cds-WP_036620682.1,no
group_4226,Transcriptional regulator HxlR family,core,regulatory,NKFIDM_04168,KMIGAE_04168,ILIHOP_04168,cds-WP_036621667.1,no
group_4224,DUF2642 domain-containing protein,core,hypothetical_DUF,NKFIDM_02046,KMIGAE_02046,ILIHOP_02046,cds-WP_036624339.1,no
group_4222,Metalloregulator ArsR/SmtB family transcription factor,core,other,NKFIDM_00374,KMIGAE_00374,ILIHOP_00374,cds-WP_082207974.1,no
group_4221,hypothetical protein,core,hypothetical_DUF,NKFIDM_05489,KMIGAE_05489,ILIHOP_05489,cds-WP_051985257.1,no
group_4220,hypothetical protein,core,hypothetical_DUF,NKFIDM_05206,KMIGAE_05206,ILIHOP_05206,cds-WP_155619618.1,no
group_4219,DNA methyltransferase,core,metabolism_enzyme,NKFIDM_05152,KMIGAE_05152,ILIHOP_05152,cds-WP_036620274.1,no
group_4218,Transcription regulator PadR N-terminal domain-containing protein,core,other,NKFIDM_03235,KMIGAE_03235,ILIHOP_03235,cds-WP_036622934.1,no
group_4217,Cupin domain-containing protein,core,other,NKFIDM_02925,KMIGAE_02925,ILIHOP_02925,cds-WP_155621005.1,no
group_4216,Radical SAM protein,core,other,NKFIDM_02116,KMIGAE_02116,ILIHOP_02116,cds-WP_036624272.1,no
group_4215,Branched-chain amino acid transport family protein,core,other,NKFIDM_01618,KMIGAE_01618,ILIHOP_01618,cds-WP_051985651.1,no
group_4214,Cytochrome C oxidase subunit IV,core,other,NKFIDM_00876,KMIGAE_00876,ILIHOP_00876,cds-WP_036626305.1,no
group_4212,hypothetical protein,core,hypothetical_DUF,NKFIDM_06446,KMIGAE_06446,ILIHOP_06446,cds-WP_155619255.1,no
group_4211,Lar family restriction alleviation protein,core,other,NKFIDM_05654,KMIGAE_05654,ILIHOP_05654,cds-WP_394373452.1,no
group_4210,Anti-sigma factor antagonist,core,regulatory,NKFIDM_05537,KMIGAE_05537,ILIHOP_05537,cds-WP_036619720.1,no
yajC,preprotein translocase subunit YajC,core,other,NKFIDM_04885,KMIGAE_04885,ILIHOP_04885,cds-WP_155621441.1,no
group_4209,DUF1292 domain-containing protein,core,hypothetical_DUF,NKFIDM_04265,KMIGAE_04265,ILIHOP_04265,cds-WP_036621502.1,no
group_4207,Iron-sulfur cluster biosynthesis family protein,core,other,NKFIDM_03071,KMIGAE_03071,ILIHOP_03071,cds-WP_036623159.1,no
group_4206,Iron-sulfur cluster biosynthesis family protein,core,other,NKFIDM_02272,KMIGAE_02272,ILIHOP_02272,cds-WP_240751559.1,no
group_4205,DNA primase,core,other,NKFIDM_01517,KMIGAE_01517,ILIHOP_01517,cds-WP_115311233.1,no
group_4204,MerR regulatory family protein,core,regulatory,NKFIDM_01250,KMIGAE_01250,ILIHOP_01250,cds-WP_036625716.1,no
group_4203,ASCH domain-containing protein,core,other,NKFIDM_00952,KMIGAE_00952,ILIHOP_00952,cds-WP_124333258.1,no
group_4202,Short chain dehydrogenase family protein,core,metabolism_enzyme,NKFIDM_00498,KMIGAE_00498,ILIHOP_00498,cds-WP_155619778.1,no
group_4201,hypothetical protein,core,hypothetical_DUF,NKFIDM_00459,KMIGAE_00459,ILIHOP_00459,cds-WP_036626800.1,no
group_4200,PadR family transcriptional regulator,core,regulatory,NKFIDM_06151,KMIGAE_06151,ILIHOP_06151,cds-WP_036619136.1,no
yneQ,YneQ,core,other,NKFIDM_05579,KMIGAE_05579,ILIHOP_05579,cds-WP_036619677.1,no
group_4198,DUF6933 domain-containing protein,core,hypothetical_DUF,NKFIDM_05205,KMIGAE_05205,ILIHOP_05205,cds-WP_051985293.1,no
group_4197,DUF4321 domain-containing protein,core,hypothetical_DUF,NKFIDM_02932,KMIGAE_02932,ILIHOP_02932,3_refound_68,no
ynfA,YnfA family protein,core,other,NKFIDM_02853,KMIGAE_02853,ILIHOP_02853,cds-WP_036623656.1,no
group_4196,Metalloregulator ArsR/SmtB family transcription factor,core,other,NKFIDM_01011,KMIGAE_01011,ILIHOP_01011,cds-WP_036625940.1,no
aseR,HTH-type transcriptional repressor AseR,core,other,NKFIDM_00775,KMIGAE_00775,ILIHOP_00775,cds-WP_036626411.1,no
group_4195,L-rhamnose mutarotase,core,other,NKFIDM_00518,KMIGAE_00518,ILIHOP_00518,cds-WP_036626687.1,no
group_4194,hypothetical protein,core,hypothetical_DUF,NKFIDM_00014,KMIGAE_00014,ILIHOP_00014,3_refound_3_pseudo,no
group_4193,HIT domain-containing protein,core,other,NKFIDM_06441,KMIGAE_06441,ILIHOP_06441,cds-WP_155619259.1,no
group_4191,ArsR family transcriptional regulator,core,regulatory,NKFIDM_05679,KMIGAE_05679,ILIHOP_05679,cds-WP_036619616.1,no
group_4190,DUF3899 domain-containing protein,core,hypothetical_DUF,NKFIDM_05375,KMIGAE_05375,ILIHOP_05375,cds-WP_124333176.1,no
group_4189,hypothetical protein,core,hypothetical_DUF,NKFIDM_05200,KMIGAE_05200,ILIHOP_05200,cds-WP_051985295.1,no
group_4188,Hydrolase,core,metabolism_enzyme,NKFIDM_05075,KMIGAE_05075,ILIHOP_05075,cds-WP_306308158.1,no
group_4187,DUF2207 domain-containing protein,core,hypothetical_DUF,NKFIDM_04140,KMIGAE_04140,ILIHOP_04140,cds-WP_036621715.1,no
group_4186,RNA polymerase sigma factor,core,regulatory,NKFIDM_03761,KMIGAE_03761,ILIHOP_03761,cds-WP_036622302.1,no
group_4185,50S ribosomal protein L7ae,core,ribosomal_translation,NKFIDM_03745,KMIGAE_03745,ILIHOP_03745,cds-WP_051985856.1,no
group_4184,LpdD-like chaperone-like domain-containing protein,core,other,NKFIDM_03163,KMIGAE_03163,ILIHOP_03163,cds-WP_306436791.1,no
group_4183,Cupin domain-containing protein,core,other,NKFIDM_02353,KMIGAE_02353,ILIHOP_02353,cds-WP_227872642.1,no
ytrH,Sporulation YtrH family protein,core,sporulation,NKFIDM_01996,KMIGAE_01996,ILIHOP_01996,cds-WP_036624406.1,no
group_4182,hypothetical protein,core,hypothetical_DUF,NKFIDM_01857,KMIGAE_01857,ILIHOP_01857,cds-WP_036624806.1,no
group_4181,Maltose/maltodextrin transport system permease protein,core,transport,NKFIDM_00318,KMIGAE_00318,ILIHOP_00318,3_refound_12_pseudo,no
darA,Protein from nitrogen regulatory protein P-II,core,other,NKFIDM_00038,KMIGAE_00038,ILIHOP_00038,cds-WP_036618158.1,no
group_4180,MazG-like family protein,core,other,NKFIDM_06457,KMIGAE_06457,ILIHOP_06457,cds-WP_240752221.1,no
group_4179,Nucleotide pyrophosphohydrolase,core,metabolism_enzyme,NKFIDM_06440,KMIGAE_06440,ILIHOP_06440,cds-WP_155619260.1,no
rplV,50S ribosomal protein L22,core,ribosomal_translation,NKFIDM_05745,KMIGAE_05745,ILIHOP_05745,cds-WP_009226643.1,no
group_4178,Transcriptional regulator PadR-like family protein,core,regulatory,NKFIDM_05556,KMIGAE_05556,ILIHOP_05556,cds-WP_124333459.1,no
group_4177,Ribosomal processing cysteine protease Prp,core,metabolism_enzyme,NKFIDM_05016,KMIGAE_05016,ILIHOP_05016,cds-WP_155621230.1,no
group_4175,Barstar (barnase inhibitor) domain-containing protein,core,other,NKFIDM_02950,KMIGAE_02950,ILIHOP_02950,cds-WP_155620590.1,no
group_4174,Phage protein,core,phage,NKFIDM_02161,KMIGAE_02161,ILIHOP_02161,cds-WP_036624227.1,no
group_4173,PadR family transcriptional regulator,core,regulatory,NKFIDM_02068,KMIGAE_02068,ILIHOP_02068,cds-WP_036624320.1,no
group_4172,YlbE-like family protein,core,other,NKFIDM_01255,KMIGAE_01255,ILIHOP_01255,cds-WP_036625711.1,no
group_4171,Branched-chain amino acid transport family protein,core,other,NKFIDM_00769,KMIGAE_00769,ILIHOP_00769,cds-WP_036626419.1,no
group_4169,Transcription factor zinc-finger domain-containing protein,core,sporulation,NKFIDM_05720,KMIGAE_05720,ILIHOP_05720,cds-WP_036619554.1,no
sinR,HTH-type transcriptional regulator sinR,core,regulatory,NKFIDM_05256,KMIGAE_05256,ILIHOP_05256,cds-WP_036620116.1,no
group_4168,Cupin domain protein,core,other,NKFIDM_05169,KMIGAE_05169,ILIHOP_05169,cds-WP_036620250.1,no
group_4166,Immunity protein 8,core,other,NKFIDM_04464,KMIGAE_04464,ILIHOP_04464,cds-WP_155619933.1,no
group_4165,YlmC/YmxH family sporulation protein,core,sporulation,NKFIDM_04319,KMIGAE_04319,ILIHOP_04319,cds-WP_124333010.1,no
group_4164,PrgI family protein,core,other,NKFIDM_02574,KMIGAE_02574,ILIHOP_02574,cds-WP_036624171.1,no
group_4163,Putative transposase,core,IS_transposase,NKFIDM_02299,KMIGAE_02299,ILIHOP_02299,cds-WP_124331532.1,no
group_4161,ABM domain-containing protein,core,other,NKFIDM_01012,KMIGAE_01012,ILIHOP_01012,cds-WP_036625938.1,no
group_4158,Helix-turn-helix family protein,core,other,NKFIDM_06443,KMIGAE_06443,ILIHOP_06443,cds-WP_128630615.1,no
group_4157,hypothetical protein,core,hypothetical_DUF,NKFIDM_06407,KMIGAE_06407,ILIHOP_06407,cds-WP_036618736.1,no
group_4155,Helix-turn-helix family protein,core,other,NKFIDM_02548,KMIGAE_02548,ILIHOP_02548,cds-WP_240751626.1,no
group_4154,LD-transpeptidase catalytic domain protein,core,metabolism_enzyme,NKFIDM_01873,KMIGAE_01873,ILIHOP_01873,cds-WP_036624767.1,no
group_4153,Chloroplast import component protein (Tic20),core,other,NKFIDM_00869,KMIGAE_00869,ILIHOP_00869,cds-WP_124333278.1,no
rhaM,L-rhamnose mutarotase,core,other,NKFIDM_00826,KMIGAE_00826,ILIHOP_00826,cds-WP_036626379.1,no
group_4152,DsrE/DsrF-like family protein,core,other,NKFIDM_00491,KMIGAE_00491,ILIHOP_00491,cds-WP_036626738.1,no
group_4151,Transcriptional regulator,core,regulatory,NKFIDM_00304,KMIGAE_00304,ILIHOP_00304,cds-WP_213511122.1,no
group_4147,STAS domain-containing protein,core,other,NKFIDM_04562,KMIGAE_04562,ILIHOP_04562,cds-WP_124332508.1,no
group_4146,YugN-like family protein,core,other,NKFIDM_04233,KMIGAE_04233,ILIHOP_04233,cds-WP_036621569.1,no
trxA,thioredoxin,core,other,NKFIDM_03187,KMIGAE_03187,ILIHOP_03187,cds-WP_036623008.1,no
ykkC,Multidrug resistance protein ykkC,core,drug_efflux,NKFIDM_02283,KMIGAE_02283,ILIHOP_02283,cds-WP_036624064.1,no
group_4144,Rhodanese-like domain protein,core,other,NKFIDM_01556,KMIGAE_01556,ILIHOP_01556,cds-WP_036625261.1,no
group_4142,Metallo-beta-lactamase superfamily protein,core,other,NKFIDM_00822,KMIGAE_00822,ILIHOP_00822,3_refound_33,no
group_4141,Na(+)/H(+) antiporter subunit C,core,transport,NKFIDM_00388,KMIGAE_00388,ILIHOP_00388,cds-WP_036626894.1,no
ytxJ,Bacillithiol system redox-active protein YtxJ,core,other,NKFIDM_04253,KMIGAE_04253,ILIHOP_04253,cds-WP_036621527.1,no
group_4139,NTP pyrophosphohydrolase MazG-like domain-containing protein,core,metabolism_enzyme,NKFIDM_03964,KMIGAE_03964,ILIHOP_03964,cds-WP_036621981.1,no
rplS,50S ribosomal protein L19,core,ribosomal_translation,NKFIDM_03825,KMIGAE_03825,ILIHOP_03825,cds-WP_036622198.1,no
group_4138,PTS lactose/cellobiose transporter subunit IIA,core,transport,NKFIDM_02322,KMIGAE_02322,ILIHOP_02322,cds-WP_036624032.1,no
group_4137,Carboxymuconolactone decarboxylase family protein,core,other,NKFIDM_02163,KMIGAE_02163,ILIHOP_02163,cds-WP_036624224.1,no
group_4136,UPF0342 protein DJ90_2798,core,other,NKFIDM_01985,KMIGAE_01985,ILIHOP_01985,cds-WP_036624424.1,no
group_4135,Sigma-70 family RNA polymerase sigma factor,core,regulatory,NKFIDM_01400,KMIGAE_01400,ILIHOP_01400,cds-WP_036625538.1,no
group_4134,Sigma-70 region 4,core,other,NKFIDM_01379,KMIGAE_01379,ILIHOP_01379,cds-WP_036625558.1,no
group_4133,hypothetical protein,core,hypothetical_DUF,NKFIDM_00915,KMIGAE_00915,ILIHOP_00915,cds-WP_036626254.1,no
group_4130,DNA primase,core,other,NKFIDM_05427,KMIGAE_05427,ILIHOP_05428,cds-WP_036619841.1,no
rsfS,ribosome silencing factor,core,other,NKFIDM_04545,KMIGAE_04545,ILIHOP_04545,cds-WP_036621073.1,no
group_4128,Small Multidrug Resistance family protein,core,drug_efflux,NKFIDM_02208,KMIGAE_02208,ILIHOP_02208,cds-WP_036624120.1,no
group_4127,Helix-turn-helix family protein,core,other,NKFIDM_01953,KMIGAE_01953,ILIHOP_01953,cds-WP_155620450.1,no
group_4126,Helix-turn-helix domain protein,core,other,NKFIDM_01457,KMIGAE_01457,ILIHOP_01457,cds-WP_036625441.1,no
group_4125,Magnesium transporter MgtE intracellular domain-containing protein,core,transport,NKFIDM_01314,KMIGAE_01314,ILIHOP_01314,cds-WP_036625621.1,no
rnpA,ribonuclease P protein component,core,other,NKFIDM_06692,KMIGAE_06692,ILIHOP_06692,cds-WP_036618220.1,no
group_4124,hypothetical protein,core,hypothetical_DUF,NKFIDM_05875,KMIGAE_05875,ILIHOP_05875,cds-WP_051985227.1,no
group_4122,Glyoxalase,core,other,NKFIDM_05201,KMIGAE_05201,ILIHOP_05201,cds-WP_036620197.1,no
group_4121,Large polyvalent protein associated domain-containing protein,core,other,NKFIDM_05074,KMIGAE_05074,ILIHOP_05074,cds-WP_036620419.1,no
spoVAE,stage V sporulation protein AE,core,sporulation,NKFIDM_04555,KMIGAE_04555,ILIHOP_04555,cds-WP_036621060.1,no
group_4118,Transposase zinc-ribbon domain protein,core,IS_transposase,NKFIDM_04325,KMIGAE_04325,ILIHOP_04325,cds-WP_036621410.1,no
group_4117,Signal transduction histidine kinase,core,metabolism_enzyme,NKFIDM_04311,KMIGAE_04311,ILIHOP_04311,cds-WP_036621427.1,no
group_4116,Arsenical resistance operon repressor,core,other,NKFIDM_00776,KMIGAE_00776,ILIHOP_00776,cds-WP_082207944.1,no
group_4115,Lipoprotein,core,other,NKFIDM_00501,KMIGAE_00501,ILIHOP_00501,cds-WP_124332842.1,no
group_4114,Bacterial regulatory arsR family protein,core,other,NKFIDM_00393,KMIGAE_00393,ILIHOP_00393,cds-WP_036626886.1,no
rplX,50S ribosomal protein L24,core,ribosomal_translation,NKFIDM_05739,KMIGAE_05739,ILIHOP_05739,cds-WP_082207655.1,no
group_4113,Restriction endonuclease subunit S,core,other,NKFIDM_05122,KMIGAE_05122,ILIHOP_05122,cds-WP_036620330.1,no
group_4112,Helix-turn-helix domain-containing protein,core,other,NKFIDM_04656,KMIGAE_04656,ILIHOP_04656,cds-WP_036620908.1,no
spoIIAA,anti-sigma F factor antagonist,core,regulatory,NKFIDM_04084,KMIGAE_04084,ILIHOP_04084,cds-WP_036621841.1,no
group_4111,putative DNA-binding protein,core,regulatory,NKFIDM_03834,KMIGAE_03834,ILIHOP_03834,cds-WP_036622180.1,no
rbfA,30S ribosome-binding factor RbfA,core,other,NKFIDM_03743,KMIGAE_03743,ILIHOP_03743,cds-WP_036622336.1,no
group_4107,Helix-turn-helix family protein,core,other,NKFIDM_02015,KMIGAE_02015,ILIHOP_02015,cds-WP_124331633.1,no
group_4106,DUF2294 domain-containing protein,core,hypothetical_DUF,NKFIDM_01958,KMIGAE_01958,ILIHOP_01958,cds-WP_036624464.1,no
group_4105,Hydrolase/acyltransferase,core,metabolism_enzyme,NKFIDM_01608,KMIGAE_01608,ILIHOP_01608,cds-WP_036625169.1,no
group_4104,Glyoxalase/Bleomycin resistance /Dioxygenase superfamily protein,core,other,NKFIDM_01317,KMIGAE_01317,ILIHOP_01317,cds-WP_124331862.1,no
group_4103,LytTR family transcriptional regulator DNA-binding domain-containing protein,core,regulatory,NKFIDM_03878,KMIGAE_03878,ILIHOP_03878,cds-WP_036622126.1,no
group_4100,Transcriptional regulator,core,regulatory,NKFIDM_06525,KMIGAE_06525,ILIHOP_06525,cds-WP_036618506.1,no
group_4099,Iron-sulfur cluster assembly accessory family protein,core,other,NKFIDM_05276,KMIGAE_05276,ILIHOP_05276,cds-WP_036620073.1,no
group_4098,DUF952 domain-containing protein,core,hypothetical_DUF,NKFIDM_04782,KMIGAE_04782,ILIHOP_04782,cds-WP_036620794.1,no
group_4097,DoxX family protein,core,other,NKFIDM_03287,KMIGAE_03287,ILIHOP_03287,cds-WP_036622895.1,no
group_4096,DUF1878 domain-containing protein,core,hypothetical_DUF,NKFIDM_02493,KMIGAE_02493,ILIHOP_02493,cds-WP_240751607.1,no
group_4095,DUF4190 domain-containing protein,core,hypothetical_DUF,NKFIDM_01601,KMIGAE_01601,ILIHOP_01601,cds-WP_036625190.1,no
hxlR,HTH-type transcriptional activator hxlR,core,other,NKFIDM_00462,KMIGAE_00462,ILIHOP_00462,cds-WP_036626794.1,no
group_4091,Transcriptional regulator,core,regulatory,NKFIDM_06566,KMIGAE_06566,ILIHOP_06566,cds-WP_124332293.1,no
flaG,FlaG family protein,core,other,NKFIDM_05939,KMIGAE_05939,ILIHOP_05939,cds-WP_036619304.1,no
group_4090,hypothetical protein,core,hypothetical_DUF,NKFIDM_05471,KMIGAE_05471,ILIHOP_05471,cds-WP_036619781.1,no
group_4089,hypothetical protein,core,hypothetical_DUF,NKFIDM_05451,KMIGAE_05451,ILIHOP_05452,cds-WP_036619805.1,no
nrdI,class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,core,metabolism_enzyme,NKFIDM_05325,KMIGAE_05325,ILIHOP_05325,cds-WP_036619996.1,no
group_4088,DUF2512 domain-containing protein,core,hypothetical_DUF,NKFIDM_03637,KMIGAE_03637,ILIHOP_03637,cds-WP_082207750.1,no
group_4085,hypothetical protein,core,hypothetical_DUF,NKFIDM_03011,KMIGAE_03011,ILIHOP_03011,cds-WP_036623231.1,no
group_4083,hypothetical protein,core,hypothetical_DUF,NKFIDM_01951,KMIGAE_01951,ILIHOP_01951,cds-WP_240752530.1,no
rplT,50S ribosomal protein L20,core,ribosomal_translation,NKFIDM_01761,KMIGAE_01761,ILIHOP_01761,cds-WP_036624933.1,no
group_4082,Phage integrase family protein,core,phage,NKFIDM_00375,KMIGAE_00375,ILIHOP_00375,3_refound_16,no
group_4081,C-type cytochrome,core,other,NKFIDM_00125,KMIGAE_00125,ILIHOP_00125,cds-WP_036618037.1,no
group_4079,Alkaline shock protein 23,core,other,NKFIDM_04235,KMIGAE_04235,ILIHOP_04235,cds-WP_036621562.1,no
group_4078,HxlR-like helix-turn-helix family protein,core,other,NKFIDM_03004,KMIGAE_03004,ILIHOP_03004,cds-WP_036623243.1,no
folB,dihydroneopterin aldolase,core,metabolism_enzyme,NKFIDM_00098,KMIGAE_00098,ILIHOP_00098,cds-WP_036618069.1,no
group_4074,HxlR-like helix-turn-helix family protein,core,other,NKFIDM_06528,KMIGAE_06528,ILIHOP_06528,cds-WP_036618490.1,no
rplL,50S ribosomal protein L7/L12,core,ribosomal_translation,NKFIDM_05766,KMIGAE_05766,ILIHOP_05766,cds-WP_036619490.1,no
rplQ,50S ribosomal protein L17,core,ribosomal_translation,NKFIDM_05722,KMIGAE_05722,ILIHOP_05722,cds-WP_124333533.1,no
group_4073,Thioredoxin,core,other,NKFIDM_05289,KMIGAE_05289,ILIHOP_05289,cds-WP_240752048.1,no
group_4072,HIT domain protein,core,other,NKFIDM_04396,KMIGAE_04396,ILIHOP_04396,cds-WP_036621304.1,no
cheY,Chemotaxis protein CheY,core,cell_envelope_motility,NKFIDM_03778,KMIGAE_03778,ILIHOP_03778,cds-WP_036622271.1,no
group_4071,DUF1992 domain-containing protein,core,hypothetical_DUF,NKFIDM_03668,KMIGAE_03668,ILIHOP_03668,cds-WP_036622474.1,no
group_4070,fluoride efflux transporter CrcB,core,drug_efflux,NKFIDM_03622,KMIGAE_03622,ILIHOP_03622,cds-WP_124331973.1,no
group_4067,HTH domain protein,core,other,NKFIDM_02037,KMIGAE_02037,ILIHOP_02037,3_refound_44,no
rplN,50S ribosomal protein L14,core,ribosomal_translation,NKFIDM_05740,KMIGAE_05740,ILIHOP_05740,cds-WP_036619525.1,no
rplR,50S ribosomal protein L18,core,ribosomal_translation,NKFIDM_05735,KMIGAE_05735,ILIHOP_05735,cds-WP_036619534.1,no
rpsM,30S ribosomal protein S13,core,ribosomal_translation,NKFIDM_05725,KMIGAE_05725,ILIHOP_05725,cds-WP_016310723.1,no
group_4065,General stress protein 17M-like domain-containing protein,core,other,NKFIDM_04415,KMIGAE_04415,ILIHOP_04415,cds-WP_036621267.1,no
group_4064,DUF423 domain-containing protein,core,hypothetical_DUF,NKFIDM_03940,KMIGAE_03940,ILIHOP_03940,cds-WP_036622037.1,no
group_4063,hypothetical protein,core,hypothetical_DUF,NKFIDM_02990,KMIGAE_02990,ILIHOP_02990,cds-WP_036623273.1,no
group_4062,OsmC-like family protein,core,other,NKFIDM_02334,KMIGAE_02334,ILIHOP_02334,cds-WP_051985545.1,no
group_4061,Phage holin family protein,core,phage,NKFIDM_01790,KMIGAE_01790,ILIHOP_01790,cds-WP_155621196.1,no
group_4060,hypothetical protein,core,hypothetical_DUF,NKFIDM_01036,KMIGAE_01036,ILIHOP_01036,cds-WP_240752400.1,no
group_4059,DUF1330 domain-containing protein,core,hypothetical_DUF,NKFIDM_00753,KMIGAE_00753,ILIHOP_00753,cds-WP_124332776.1,no
group_4057,DUF488 domain-containing protein,core,hypothetical_DUF,NKFIDM_04771,KMIGAE_04771,ILIHOP_04771,cds-WP_227872837.1,no
group_4055,YtxH-like family protein,core,other,NKFIDM_02049,KMIGAE_02049,ILIHOP_02049,cds-WP_124331622.1,no
group_4054,BlaI/MecI/CopY family transcriptional regulator,core,regulatory,NKFIDM_01906,KMIGAE_01906,ILIHOP_01906,cds-WP_036624552.1,no
group_4053,PRD domain protein,core,other,NKFIDM_00736,KMIGAE_00736,ILIHOP_00736,cds-WP_124332782.1,no
group_4052,Metal-sensitive transcriptional repressor family protein,core,other,NKFIDM_00672,KMIGAE_00672,ILIHOP_00672,cds-WP_036626513.1,no
group_4051,DUF972 domain-containing protein,core,hypothetical_DUF,NKFIDM_00042,KMIGAE_00042,ILIHOP_00042,cds-WP_036618150.1,no
group_4050,MerR family transcriptional regulator,core,regulatory,NKFIDM_06557,KMIGAE_06557,ILIHOP_06557,cds-WP_036618420.1,no
group_4049,ATP synthase subunit I,core,metabolism_enzyme,NKFIDM_05992,KMIGAE_05992,ILIHOP_05992,cds-WP_036619223.1,no
group_4048,ArsR family transcriptional regulator,core,regulatory,NKFIDM_05980,KMIGAE_05980,ILIHOP_05980,cds-WP_036619246.1,no
group_4047,hypothetical protein,core,hypothetical_DUF,NKFIDM_04658,KMIGAE_04658,ILIHOP_04658,cds-WP_036620904.1,no
aroH,chorismate mutase,core,metabolism_enzyme,NKFIDM_03995,KMIGAE_03995,ILIHOP_03995,cds-WP_036621942.1,no
group_4046,GntR family transcriptional regulator,core,regulatory,NKFIDM_03044,KMIGAE_03044,ILIHOP_03044,cds-WP_036628206.1,no
group_4045,Lipopolysaccharide assembly protein A domain-containing protein,core,cell_envelope_motility,NKFIDM_02109,KMIGAE_02109,ILIHOP_02109,cds-WP_155621163.1,no
group_4044,GntR family transcriptional regulator,core,regulatory,NKFIDM_01083,KMIGAE_01083,ILIHOP_01083,cds-WP_036625828.1,no
group_4043,DMT family transporter,core,transport,NKFIDM_03468,KMIGAE_03468,ILIHOP_03468,cds-WP_164815269.1,no
group_4042,Globin,core,other,NKFIDM_05439,KMIGAE_05439,ILIHOP_05440,cds-WP_036619818.1,no
group_4040,MerR family transcriptional regulator,core,regulatory,NKFIDM_02959,KMIGAE_02959,ILIHOP_02959,cds-WP_155620598.1,no
group_4039,DUF423 domain-containing protein,core,hypothetical_DUF,NKFIDM_01865,KMIGAE_01865,ILIHOP_01865,cds-WP_036624786.1,no
group_4038,BlaI/MecI/CopY family transcriptional regulator,core,regulatory,NKFIDM_01524,KMIGAE_01524,ILIHOP_01524,cds-WP_036625322.1,no
group_4037,MerR family transcriptional regulator,core,regulatory,NKFIDM_01237,KMIGAE_01237,ILIHOP_01237,cds-WP_036625730.1,no
group_4036,Reactive intermediate/imine deaminase family protein,core,other,NKFIDM_00860,KMIGAE_00860,ILIHOP_00860,cds-WP_036626334.1,no
cmr5,type III-B CRISPR module-associated protein Cmr5,core,CRISPR,NKFIDM_00812,KMIGAE_00812,ILIHOP_00812,cds-WP_036626392.1,no
group_4035,DUF1634 domain-containing protein,core,hypothetical_DUF,NKFIDM_00711,KMIGAE_00711,ILIHOP_00711,cds-WP_036626474.1,no
group_4034,MerR family transcriptional regulator,core,regulatory,NKFIDM_00527,KMIGAE_00527,ILIHOP_00527,cds-WP_036626674.1,no
group_4033,Sporulation initiation phosphotransferase F,core,sporulation,NKFIDM_00142,KMIGAE_00142,ILIHOP_00142,cds-WP_036618007.1,no
group_4031,DUF805 domain-containing protein,core,hypothetical_DUF,NKFIDM_05672,KMIGAE_05672,ILIHOP_05672,cds-WP_036619622.1,no
group_4030,Zinc-ribbon containing domain-containing protein,core,other,NKFIDM_05514,KMIGAE_05514,ILIHOP_05514,cds-WP_036619754.1,no
group_4029,hypothetical protein,core,hypothetical_DUF,NKFIDM_04627,KMIGAE_04627,ILIHOP_04627,cds-WP_036620950.1,no
group_4028,Diacylglycerol kinase,core,metabolism_enzyme,NKFIDM_04389,KMIGAE_04389,ILIHOP_04389,cds-WP_036621316.1,no
group_4027,DUF4280 domain-containing protein,core,hypothetical_DUF,NKFIDM_02555,KMIGAE_02555,ILIHOP_02555,cds-WP_240751632.1,no
group_4026,RNA polymerase sigma factor sigma-70 family protein,core,regulatory,NKFIDM_02494,KMIGAE_02494,ILIHOP_02494,cds-WP_240751609.1,no
group_4025,Bacterial regulatory arsR family protein,core,other,NKFIDM_02356,KMIGAE_02356,ILIHOP_02356,cds-WP_036624004.1,no
