# Genes present in M5/M6/M8 but ABSENT from I6
# Total: 736 (736 in all 3 isolates, 0 partial)

Group	Annotation	M5	M6	M8	In_all_3
group_3862	DUF3168 domain-containing protein	NKFIDM_06053	KMIGAE_06053	ILIHOP_06053	True
group_3845	Arm DNA-binding domain-containing protein	NKFIDM_03562	KMIGAE_03562	ILIHOP_03562	True
gemA	regulatory protein GemA	NKFIDM_03557	KMIGAE_03557	ILIHOP_03557	True
group_3844	HTH cro/C1-type domain-containing protein	NKFIDM_03547	KMIGAE_03547	ILIHOP_03547	True
group_3839	Immunity protein 30 domain-containing protein	NKFIDM_05388	KMIGAE_05388	ILIHOP_05389	True
group_3837	hypothetical protein	NKFIDM_04762	KMIGAE_04762	ILIHOP_04762	True
group_3836	hypothetical protein	NKFIDM_01125	KMIGAE_01125	ILIHOP_01125	True
group_3830	hypothetical protein	NKFIDM_05560	KMIGAE_05560	ILIHOP_05560	True
group_3823	DUF2634 domain-containing protein	NKFIDM_03590	KMIGAE_03590	ILIHOP_03590	True
group_3822	tartrate dehydratase	NKFIDM_03580	KMIGAE_03580	ILIHOP_03580	True
group_3821	Uncharacterized protein conserved in bacteria	NKFIDM_03552	KMIGAE_03552	ILIHOP_03552	True
group_3815	hypothetical protein	NKFIDM_00321	KMIGAE_00321	ILIHOP_00321	True
group_3806	Endoglucanase	NKFIDM_03584	KMIGAE_03584	ILIHOP_03584	True
group_3796	hypothetical protein	NKFIDM_04967	KMIGAE_04967	ILIHOP_04967	True
group_3792	Ferric uptake regulator family protein	NKFIDM_02182	KMIGAE_02182	ILIHOP_02182	True
group_3781	Very short patch repair endonuclease	NKFIDM_00362	KMIGAE_00362	ILIHOP_00362	True
group_3772	guanylate kinase	NKFIDM_03566	KMIGAE_03566	ILIHOP_03566	True
group_3770	TetR/AcrR family transcriptional regulator	NKFIDM_03221	KMIGAE_03221	ILIHOP_03221	True
group_3757	Nitroreductase	NKFIDM_03251	KMIGAE_03251	ILIHOP_03251	True
group_3747	IrrE N-terminal-like domain-containing protein	NKFIDM_04992	KMIGAE_04992	ILIHOP_04992	True
group_3746	NERD domain-containing protein	NKFIDM_04713	KMIGAE_04713	ILIHOP_04713	True
group_3739	hypothetical protein	NKFIDM_06057	KMIGAE_06057	ILIHOP_06057	True
group_3737	hypothetical protein	NKFIDM_05806	KMIGAE_05806	ILIHOP_05806	True
sigK	RNA polymerase sporulation sigma factor SigK	NKFIDM_04703	KMIGAE_04703	ILIHOP_04703	True
group_3716	hypothetical protein	NKFIDM_00324	KMIGAE_00324	ILIHOP_00324	True
pcfB	PcfB family protein	NKFIDM_02527	KMIGAE_02527	ILIHOP_02527	True
spoVG	SpoVG family protein	NKFIDM_02523	KMIGAE_02523	ILIHOP_02523	True
insH	Transposase InsH N-terminal domain-containing protein	NKFIDM_01156	KMIGAE_01156	ILIHOP_01156	True
group_3700	hypothetical protein	NKFIDM_05281	KMIGAE_05281	ILIHOP_05281	True
group_3699	transposase	NKFIDM_04964	KMIGAE_04964	ILIHOP_04964	True
group_3695	ABC transporter permease	NKFIDM_01118	KMIGAE_01118	ILIHOP_01118	True
group_3678	hypothetical protein	NKFIDM_02590	KMIGAE_02590	ILIHOP_02590	True
group_3675	Putative membrane protein	NKFIDM_00440	KMIGAE_00440	ILIHOP_00440	True
group_3663	Transposase	NKFIDM_06061	KMIGAE_06061	ILIHOP_06061	True
group_3658	hypothetical protein	NKFIDM_02180	KMIGAE_02180	ILIHOP_02180	True
ardA	Antirestriction protein ArdA	NKFIDM_06603	KMIGAE_06603	ILIHOP_06603	True
group_3642	Bacteriocin transport accessory protein	NKFIDM_04520	KMIGAE_04520	ILIHOP_04520	True
group_3640	signal transduction protein	NKFIDM_03594	KMIGAE_03594	ILIHOP_03594	True
group_3639	phage tail assembly chaperone	NKFIDM_03585	KMIGAE_03585	ILIHOP_03585	True
group_3637	CRISPR-associated protein Cas4	NKFIDM_01396	KMIGAE_01396	ILIHOP_01396	True
group_3635	ABC-three component (ABC-3C) system Middle Component 3	NKFIDM_01198	KMIGAE_01198	ILIHOP_01198	True
group_3628	hypothetical protein	NKFIDM_04977	KMIGAE_04977	ILIHOP_04977	True
group_3612	Lipoprotein	NKFIDM_02101	KMIGAE_02101	ILIHOP_02101	True
group_3595	DUF4411 domain-containing protein	NKFIDM_06591	KMIGAE_06591	ILIHOP_06591	True
group_3588	hypothetical protein	NKFIDM_04971	KMIGAE_04971	ILIHOP_04971	True
group_3575	hypothetical protein	NKFIDM_05391	KMIGAE_05391	ILIHOP_05392	True
group_3568	hypothetical protein	NKFIDM_03220	KMIGAE_03220	ILIHOP_03220	True
group_3558	hypothetical protein	NKFIDM_04755	KMIGAE_04755	ILIHOP_04755	True
group_3546	GNAT family N-acetyltransferase	NKFIDM_02511	KMIGAE_02511	ILIHOP_02511	True
group_3543	Acetyltransferase domain protein	NKFIDM_04900	KMIGAE_04900	ILIHOP_04900	True
group_3530	DUF1064 domain-containing protein	NKFIDM_06099	KMIGAE_06099	ILIHOP_06099	True
group_3514	hypothetical protein	NKFIDM_06103	KMIGAE_06103	ILIHOP_06103	True
group_3508	Lipoprotein	NKFIDM_00325	KMIGAE_00325	ILIHOP_00325	True
yorD	Bacteriophage SP-beta YorD domain-containing protein	NKFIDM_06044	KMIGAE_06044	ILIHOP_06044	True
group_3497	hypothetical protein	NKFIDM_06100	KMIGAE_06100	ILIHOP_06100	True
group_3496	hypothetical protein	NKFIDM_06069	KMIGAE_06069	ILIHOP_06069	True
group_3488	DUF4309 domain-containing protein	NKFIDM_01120	KMIGAE_01120	ILIHOP_01120	True
group_3476	AP2 domain-containing protein	NKFIDM_04979	KMIGAE_04979	ILIHOP_04979	True
group_3471	Transcriptional regulator PadR-like family protein	NKFIDM_00888	KMIGAE_00888	ILIHOP_00888	True
group_3469	Phage tail protein	NKFIDM_06047	KMIGAE_06047	ILIHOP_06047	True
group_3468	hypothetical protein	NKFIDM_04952	KMIGAE_04952	ILIHOP_04952	True
group_3467	copper amine oxidase N-terminal domain-containing protein	NKFIDM_04949	KMIGAE_04949	ILIHOP_04949	True
group_3461	TIGR04066 family peptide maturation system protein	NKFIDM_00285	KMIGAE_00285	ILIHOP_00285	True
group_3452	DUF1492 domain-containing protein	NKFIDM_01191	KMIGAE_01191	ILIHOP_01191	True
group_3450	Phage gp6-like head-tail connector protein	NKFIDM_06056	KMIGAE_06056	ILIHOP_06056	True
group_3448	UDP-N-acetylglucosamine kinase	NKFIDM_04730	KMIGAE_04730	ILIHOP_04730	True
group_3443	TetR family transcriptional regulator	NKFIDM_02508	KMIGAE_02508	ILIHOP_02508	True
group_3434	Phage tail protein	NKFIDM_06055	KMIGAE_06055	ILIHOP_06055	True
group_3433	Suppressor of fused-like domain-containing protein	NKFIDM_04955	KMIGAE_04955	ILIHOP_04955	True
group_3424	DUF3486 domain-containing protein	NKFIDM_03569	KMIGAE_03569	ILIHOP_03569	True
group_3411	Transcriptional regulator PadR-like family protein	NKFIDM_04923	KMIGAE_04923	ILIHOP_04923	True
group_3404	helix-turn-helix transcriptional regulator	NKFIDM_06612	KMIGAE_06612	ILIHOP_06612	True
group_3402	hypothetical protein	NKFIDM_06054	KMIGAE_06054	ILIHOP_06054	True
group_3372	Bacterial regulatory s tetR family protein	NKFIDM_01157	KMIGAE_01157	ILIHOP_01157	True
group_3371	hypothetical protein	NKFIDM_00284	KMIGAE_00284	ILIHOP_00284	True
group_3368	2'3'-cyclic-nucleotide 2'-phosphodiesterase	NKFIDM_06040	KMIGAE_06040	ILIHOP_06040	True
group_3365	hypothetical protein	NKFIDM_04712	KMIGAE_04712	ILIHOP_04712	True
group_3351	hypothetical protein	NKFIDM_03209	KMIGAE_03209	ILIHOP_03209	True
group_3346	Enoyl-CoA hydratase/isomerase family protein	NKFIDM_01203	KMIGAE_01203	ILIHOP_01203	True
group_3342	hypothetical protein	NKFIDM_04748	KMIGAE_04748	ILIHOP_04748	True
group_3328	Bacterial regulatory s tetR family protein	NKFIDM_03246	KMIGAE_03246	ILIHOP_03246	True
group_3319	Nucleotidyltransferase family protein	NKFIDM_04927	KMIGAE_04927	ILIHOP_04927	True
group_3311	ABC transporter family protein	NKFIDM_04912	KMIGAE_04912	ILIHOP_04912	True
group_3308	Methylase involved in ubiquinone/menaquinone biosynthesis	NKFIDM_01216	KMIGAE_01216	ILIHOP_01216	True
group_3307	Periplasmic binding family protein	NKFIDM_01190	KMIGAE_01190	ILIHOP_01190	True
group_3300	DNA repair protein RadC	NKFIDM_06607	KMIGAE_06607	ILIHOP_06607	True
group_3296	Peptidoglycan DD-metalloendopeptidase family protein	NKFIDM_06034	KMIGAE_06034	ILIHOP_06034	True
group_3290	DUF3987 domain-containing protein	NKFIDM_01112	KMIGAE_01112	ILIHOP_01112	True
group_3286	TetR family transcriptional regulator	NKFIDM_04928	KMIGAE_04928	ILIHOP_04928	True
group_3279	DNA modification methylase	NKFIDM_00335	KMIGAE_00335	ILIHOP_00335	True
group_3264	hypothetical protein	NKFIDM_05609	KMIGAE_05609	ILIHOP_05609	True
group_3253	ABC transporter family protein	NKFIDM_04523	KMIGAE_04523	ILIHOP_04523	True
group_3249	Nuclear transport factor 2 family protein	NKFIDM_02193	KMIGAE_02193	ILIHOP_02193	True
group_3247	Bacterial regulatory s tetR family protein	NKFIDM_01184	KMIGAE_01184	ILIHOP_01184	True
group_3234	Siphovirus-type tail component C-terminal domain-containing protein	NKFIDM_06042	KMIGAE_06042	ILIHOP_06042	True
group_3232	hypothetical protein	NKFIDM_04943	KMIGAE_04943	ILIHOP_04943	True
group_3228	recombinase zinc beta ribbon domain-containing protein	NKFIDM_01202	KMIGAE_01202	ILIHOP_01202	True
group_3215	hypothetical protein	NKFIDM_06075	KMIGAE_06075	ILIHOP_06075	True
group_3214	Uncharacterised protein family (UPF0158)	NKFIDM_04735	KMIGAE_04735	ILIHOP_04735	True
group_3200	ABC transporter permease	NKFIDM_03556	KMIGAE_03556	ILIHOP_03556	True
group_3193	DUF4280 domain-containing protein	NKFIDM_05390	KMIGAE_05390	ILIHOP_05391	True
lysE	Lysine transporter LysE	NKFIDM_04926	KMIGAE_04926	ILIHOP_04926	True
group_3191	LysM peptidoglycan-binding domain-containing protein	NKFIDM_03587	KMIGAE_03587	ILIHOP_03587	True
group_3187	DUF2306 domain-containing protein	NKFIDM_01167	KMIGAE_01167	ILIHOP_01167	True
group_3174	DUF2357 domain-containing protein	NKFIDM_04750	KMIGAE_04750	ILIHOP_04750	True
group_3162	metallophosphoesterase	NKFIDM_00978	KMIGAE_00978	ILIHOP_00978	True
group_3159	Methyl-accepting chemotaxis protein	NKFIDM_06595	KMIGAE_06595	ILIHOP_06595	True
group_3157	hypothetical protein	NKFIDM_05807	KMIGAE_05807	ILIHOP_05807	True
group_3150	Response regulator	NKFIDM_02210	KMIGAE_02210	ILIHOP_02210	True
group_3141	Helix-turn-helix domain-containing protein	NKFIDM_06116	KMIGAE_06116	ILIHOP_06116	True
group_3140	hypothetical protein	NKFIDM_04693	KMIGAE_04693	ILIHOP_04693	True
cas4	CRISPR-associated protein Cas4	NKFIDM_00342	KMIGAE_00342	ILIHOP_00342	True
group_3124	Copper amine oxidase-like N-terminal domain-containing protein	NKFIDM_03320	KMIGAE_03320	ILIHOP_03320	True
group_3114	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	NKFIDM_01803	KMIGAE_01803	ILIHOP_01803	True
group_3108	Pentapeptide repeat-containing protein	NKFIDM_05392	KMIGAE_05392	ILIHOP_05393	True
group_3107	Transcriptional regulator	NKFIDM_04989	KMIGAE_04989	ILIHOP_04989	True
group_3093	hypothetical protein	NKFIDM_04950	KMIGAE_04950	ILIHOP_04950	True
group_3092	WbqC-like family protein	NKFIDM_04692	KMIGAE_04692	ILIHOP_04692	True
group_3081	DUF554 domain-containing protein	NKFIDM_02191	KMIGAE_02191	ILIHOP_02191	True
group_3075	Short-chain dehydrogenase	NKFIDM_03222	KMIGAE_03222	ILIHOP_03222	True
group_3073	Mobile element protein CD1107-like domain-containing protein	NKFIDM_02516	KMIGAE_02516	ILIHOP_02516	True
group_3071	LUD domain-containing protein	NKFIDM_01804	KMIGAE_01804	ILIHOP_01804	True
group_3065	HNH endonuclease signature motif containing protein	NKFIDM_06093	KMIGAE_06093	ILIHOP_06093	True
group_3063	hypothetical protein	NKFIDM_04753	KMIGAE_04753	ILIHOP_04753	True
group_3050	DUF1643 domain-containing protein	NKFIDM_04754	KMIGAE_04754	ILIHOP_04754	True
group_3049	GlcNAc-PI de-N-acetylase family protein	NKFIDM_04689	KMIGAE_04689	ILIHOP_04689	True
hssR	Heme response regulator HssR	NKFIDM_02194	KMIGAE_02194	ILIHOP_02194	True
group_3035	Response regulator	NKFIDM_01164	KMIGAE_01164	ILIHOP_01164	True
group_3027	Methyltransferase domain protein	NKFIDM_02167	KMIGAE_02167	ILIHOP_02167	True
rpe	ribulose-phosphate 3-epimerase	NKFIDM_01207	KMIGAE_01207	ILIHOP_01207	True
group_3007	Ankyrin repeat-containing protein	NKFIDM_06598	KMIGAE_06598	ILIHOP_06598	True
group_3006	hypothetical protein	NKFIDM_06113	KMIGAE_06113	ILIHOP_06113	True
group_2988	M15 family metallopeptidase	NKFIDM_04944	KMIGAE_04944	ILIHOP_04944	True
group_2985	ABC transporter family protein	NKFIDM_06430	KMIGAE_06430	ILIHOP_06430	True
cas5b	type I-B CRISPR-associated protein Cas5b	NKFIDM_01394	KMIGAE_01394	ILIHOP_01394	True
group_2976	LytTr DNA-binding domain protein	NKFIDM_06434	KMIGAE_06434	ILIHOP_06434	True
group_2972	Antirestriction protein	NKFIDM_02531	KMIGAE_02531	ILIHOP_02531	True
group_2970	ATP-binding protein	NKFIDM_01114	KMIGAE_01114	ILIHOP_01114	True
group_2960	hypothetical protein	NKFIDM_00346	KMIGAE_00346	ILIHOP_00346	True
cas5c	type I-C CRISPR-associated protein Cas5c	NKFIDM_00339	KMIGAE_00339	ILIHOP_00339	True
ubiE	Methyltransferase domain-containing protein	NKFIDM_02507	KMIGAE_02507	ILIHOP_02507	True
group_2912	HTH deoR-type domain-containing protein	NKFIDM_01206	KMIGAE_01206	ILIHOP_01206	True
group_2909	glycoside hydrolase family 73 protein	NKFIDM_03564	KMIGAE_03564	ILIHOP_03564	True
cas6	CRISPR-associated endoribonuclease Cas6	NKFIDM_01391	KMIGAE_01391	ILIHOP_01391	True
group_2899	Response regulator	NKFIDM_04535	KMIGAE_04535	ILIHOP_04535	True
group_2873	glucose-1-phosphate thymidylyltransferase	NKFIDM_05816	KMIGAE_05816	ILIHOP_05816	True
group_2858	Glutamine amidotransferase	NKFIDM_01168	KMIGAE_01168	ILIHOP_01168	True
group_2857	type I methionyl aminopeptidase	NKFIDM_01158	KMIGAE_01158	ILIHOP_01158	True
group_2848	Transport permease protein	NKFIDM_03232	KMIGAE_03232	ILIHOP_03232	True
group_2846	IS3 family transposase	NKFIDM_01108	KMIGAE_01108	ILIHOP_01108	True
group_2830	DNA-binding response regulator	NKFIDM_06433	KMIGAE_06433	ILIHOP_06433	True
group_2827	helix-turn-helix transcriptional regulator	NKFIDM_04991	KMIGAE_04991	ILIHOP_04991	True
group_2820	Lipoprotein	NKFIDM_00323	KMIGAE_00323	ILIHOP_00323	True
group_2819	ABC transporter family protein	NKFIDM_00288	KMIGAE_00288	ILIHOP_00288	True
group_2815	hypothetical protein	NKFIDM_04705	KMIGAE_04705	ILIHOP_04705	True
group_2812	Putative lipoprotein	NKFIDM_02212	KMIGAE_02212	ILIHOP_02212	True
group_2804	ABC transporter family protein	NKFIDM_04901	KMIGAE_04901	ILIHOP_04901	True
group_2800	Methyltransferase domain protein	NKFIDM_02184	KMIGAE_02184	ILIHOP_02184	True
group_2739	ABC transporter family protein	NKFIDM_02186	KMIGAE_02186	ILIHOP_02186	True
group_2733	Lipoprotein	NKFIDM_00326	KMIGAE_00326	ILIHOP_00326	True
group_2715	Phage tail protein	NKFIDM_06051	KMIGAE_06051	ILIHOP_06051	True
group_2708	23S ribosomal RNA methyltransferase Erm	NKFIDM_02100	KMIGAE_02100	ILIHOP_02100	True
group_2704	NAD-dependent epimerase/dehydratase family protein	NKFIDM_05822	KMIGAE_05822	ILIHOP_05822	True
group_2676	ABC transporter family protein	NKFIDM_04902	KMIGAE_04902	ILIHOP_04902	True
group_2670	DUF6674 domain-containing protein	NKFIDM_02528	KMIGAE_02528	ILIHOP_02528	True
group_2666	Glycosyltransferase	NKFIDM_06609	KMIGAE_06609	ILIHOP_06609	True
group_2664	DUF3849 domain-containing protein	NKFIDM_06072	KMIGAE_06072	ILIHOP_06072	True
group_2663	Transport permease protein	NKFIDM_05831	KMIGAE_05831	ILIHOP_05831	True
group_2652	Sulfatase-modifying factor enzyme 1 family protein	NKFIDM_04691	KMIGAE_04691	ILIHOP_04691	True
group_2651	Phospholipase C	NKFIDM_04536	KMIGAE_04536	ILIHOP_04536	True
group_2645	ABC transporter family protein	NKFIDM_02172	KMIGAE_02172	ILIHOP_02172	True
group_2635	hypothetical protein	NKFIDM_04749	KMIGAE_04749	ILIHOP_04749	True
group_2626	Polysaccharide deacetylase family protein	NKFIDM_06257	KMIGAE_06257	ILIHOP_06257	True
group_2625	Glycosyltransferase family 2 protein	NKFIDM_05820	KMIGAE_05820	ILIHOP_05820	True
group_2620	ATPase associated with various cellular activities family protein	NKFIDM_02178	KMIGAE_02178	ILIHOP_02178	True
group_2615	class I SAM-dependent methyltransferase	NKFIDM_03228	KMIGAE_03228	ILIHOP_03228	True
group_2609	CAAX protease self-immunity family protein	NKFIDM_01162	KMIGAE_01162	ILIHOP_01162	True
group_2606	TIM barrel protein	NKFIDM_05821	KMIGAE_05821	ILIHOP_05821	True
group_2604	Bacterial transferase hexapeptide family protein	NKFIDM_04684	KMIGAE_04684	ILIHOP_04684	True
group_2595	Binding--dependent transport system inner membrane component family protein	NKFIDM_00350	KMIGAE_00350	ILIHOP_00350	True
group_2593	Alpha/beta hydrolase	NKFIDM_05057	KMIGAE_05057	ILIHOP_05057	True
group_2589	MerR family transcriptional regulator	NKFIDM_02190	KMIGAE_02190	ILIHOP_02190	True
group_2546	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase	NKFIDM_03581	KMIGAE_03581	ILIHOP_03581	True
group_2541	CobQ/CobB/MinD/ParA nucleotide binding domain protein	NKFIDM_01109	KMIGAE_01109	ILIHOP_01109	True
group_2539	Sugar ABC transporter ATP-binding protein	NKFIDM_00329	KMIGAE_00329	ILIHOP_00329	True
nikD	Nickel import system ATP-binding protein NikD	NKFIDM_04913	KMIGAE_04913	ILIHOP_04913	True
group_2508	Binding--dependent transport system inner membrane component family protein	NKFIDM_04914	KMIGAE_04914	ILIHOP_04914	True
group_2502	DUF3801 domain-containing protein	NKFIDM_01141	KMIGAE_01141	ILIHOP_01141	True
group_2498	Restriction endonuclease type II DpnII-like domain-containing protein	NKFIDM_00337	KMIGAE_00337	ILIHOP_00337	True
group_2490	TrbL/VirB6 plasmid conjugal transfer protein	NKFIDM_01146	KMIGAE_01146	ILIHOP_01146	True
group_2483	ATP-binding protein	NKFIDM_06033	KMIGAE_06033	ILIHOP_06033	True
group_2482	DUF2815 domain-containing protein	NKFIDM_04975	KMIGAE_04975	ILIHOP_04975	True
group_2464	AAA domain-containing protein	NKFIDM_01115	KMIGAE_01115	ILIHOP_01115	True
group_2460	nickel transporter permease	NKFIDM_04903	KMIGAE_04903	ILIHOP_04903	True
group_2450	hypothetical protein	NKFIDM_06062	KMIGAE_06062	ILIHOP_06062	True
group_2448	Histidine kinase- DNA gyrase B- and HSP90-like ATPase family protein	NKFIDM_04534	KMIGAE_04534	ILIHOP_04534	True
group_2421	YdjC-like family protein	NKFIDM_04687	KMIGAE_04687	ILIHOP_04687	True
group_2411	DnaA ATPase domain-containing protein	NKFIDM_03558	KMIGAE_03558	ILIHOP_03558	True
group_2407	ParB/RepB/Spo0J family partition protein	NKFIDM_01132	KMIGAE_01132	ILIHOP_01132	True
group_2402	ATP-dependent DNA ligase	NKFIDM_06070	KMIGAE_06070	ILIHOP_06070	True
group_2398	DNA-binding protein	NKFIDM_03227	KMIGAE_03227	ILIHOP_03227	True
group_2393	Binding--dependent transport system inner membrane component family protein	NKFIDM_02170	KMIGAE_02170	ILIHOP_02170	True
cas7c	type I-C CRISPR-associated protein Cas7/Csd2	NKFIDM_00341	KMIGAE_00341	ILIHOP_00341	True
group_2382	TrbL/VirB6 plasmid conjugal transfer protein	NKFIDM_02524	KMIGAE_02524	ILIHOP_02524	True
group_2380	Beta-galactosidase trimerization domain protein	NKFIDM_02221	KMIGAE_02221	ILIHOP_02221	True
group_2379	ABC transporter family protein	NKFIDM_02171	KMIGAE_02171	ILIHOP_02171	True
group_2367	Binding--dependent transport system inner membrane component family protein	NKFIDM_02218	KMIGAE_02218	ILIHOP_02218	True
group_2321	amidase domain-containing protein	NKFIDM_00380	KMIGAE_00380	ILIHOP_00380	True
group_2313	Sigma-70 family RNA polymerase sigma factor	NKFIDM_03888	KMIGAE_03888	ILIHOP_03888	True
group_2296	Binding--dependent transport system inner membrane component family protein	NKFIDM_00330	KMIGAE_00330	ILIHOP_00330	True
group_2292	DUF4309 domain-containing protein	NKFIDM_05832	KMIGAE_05832	ILIHOP_05832	True
group_2250	putative phage tail protein	NKFIDM_03592	KMIGAE_03592	ILIHOP_03592	True
group_2234	hypothetical protein	NKFIDM_01106	KMIGAE_01106	ILIHOP_01106	True
group_2227	Binding--dependent transport system inner membrane component family protein	NKFIDM_02887	KMIGAE_02887	ILIHOP_02887	True
merR	MerR regulatory family protein	NKFIDM_00327	KMIGAE_00327	ILIHOP_00327	True
group_2211	Lysozyme	NKFIDM_06036	KMIGAE_06036	ILIHOP_06036	True
group_2198	FAD/NAD(P)-binding domain-containing protein	NKFIDM_01170	KMIGAE_01170	ILIHOP_01170	True
group_2184	Binding--dependent transport system inner membrane component family protein	NKFIDM_02217	KMIGAE_02217	ILIHOP_02217	True
group_2182	LtrC-like protein	NKFIDM_01142	KMIGAE_01142	ILIHOP_01142	True
cas7i	type I-B CRISPR-associated protein Cas7/Cst2/DevR	NKFIDM_01393	KMIGAE_01393	ILIHOP_01393	True
group_2162	Methyltransferase domain-containing protein	NKFIDM_01171	KMIGAE_01171	ILIHOP_01171	True
group_2136	Amidase	NKFIDM_03225	KMIGAE_03225	ILIHOP_03225	True
group_2086	Alpha/beta hydrolase	NKFIDM_04930	KMIGAE_04930	ILIHOP_04930	True
group_2085	Putative permease family protein	NKFIDM_04907	KMIGAE_04907	ILIHOP_04907	True
folE2	GTP cyclohydrolase FolE2	NKFIDM_02181	KMIGAE_02181	ILIHOP_02181	True
group_2054	Glycosyltransferase	NKFIDM_05817	KMIGAE_05817	ILIHOP_05817	True
group_2035	site-specific integrase	NKFIDM_04709	KMIGAE_04709	ILIHOP_04709	True
group_2031	nickel ABC transporter permease	NKFIDM_02169	KMIGAE_02169	ILIHOP_02169	True
group_2028	DUF3732 domain-containing protein	NKFIDM_01197	KMIGAE_01197	ILIHOP_01197	True
group_2022	AAA family ATPase	NKFIDM_04972	KMIGAE_04972	ILIHOP_04972	True
parB	Chromosome partitioning protein ParB	NKFIDM_01110	KMIGAE_01110	ILIHOP_01110	True
nikB	nickel ABC transporter permease	NKFIDM_04904	KMIGAE_04904	ILIHOP_04904	True
group_2011	AAA family ATPase	NKFIDM_03551	KMIGAE_03551	ILIHOP_03551	True
dnaI	primosomal protein DnaI	NKFIDM_06102	KMIGAE_06102	ILIHOP_06102	True
group_1997	DUF3991 domain-containing protein	NKFIDM_01136	KMIGAE_01136	ILIHOP_01136	True
group_1996	Sigma-70 region 2 family protein	NKFIDM_00334	KMIGAE_00334	ILIHOP_00334	True
group_1991	Transcriptional regulator	NKFIDM_04722	KMIGAE_04722	ILIHOP_04722	True
group_1989	SUMF1/EgtB/PvdO family nonheme iron enzyme	NKFIDM_03561	KMIGAE_03561	ILIHOP_03561	True
group_1988	Transcriptional regulator	NKFIDM_03219	KMIGAE_03219	ILIHOP_03219	True
rbsK	ribokinase	NKFIDM_01208	KMIGAE_01208	ILIHOP_01208	True
group_1976	3'-5' exoribonuclease	NKFIDM_04725	KMIGAE_04725	ILIHOP_04725	True
group_1975	4Fe-4S ferredoxin-type domain-containing protein	NKFIDM_04697	KMIGAE_04697	ILIHOP_04697	True
group_1963	ABC transporter transmembrane region family protein	NKFIDM_04526	KMIGAE_04526	ILIHOP_04526	True
group_1950	Prolyl oligopeptidase family protein	NKFIDM_00886	KMIGAE_00886	ILIHOP_00886	True
group_1942	Mu-like prophage major head subunit gpT family protein	NKFIDM_04957	KMIGAE_04957	ILIHOP_04957	True
group_1941	Amidinotransferase family protein	NKFIDM_04698	KMIGAE_04698	ILIHOP_04698	True
group_1931	Prenyltransferase-like family protein	NKFIDM_00347	KMIGAE_00347	ILIHOP_00347	True
group_1921	Binding--dependent transport system inner membrane component family protein	NKFIDM_04915	KMIGAE_04915	ILIHOP_04915	True
group_1919	SUMF1/EgtB/PvdO family nonheme iron enzyme	NKFIDM_03596	KMIGAE_03596	ILIHOP_03596	True
group_1900	Helix-turn-helix domain protein	NKFIDM_00332	KMIGAE_00332	ILIHOP_00332	True
group_1898	Glycosyltransferase	NKFIDM_05823	KMIGAE_05823	ILIHOP_05823	True
group_1888	Branched-chain amino acid transport system / permease component family protein	NKFIDM_01211	KMIGAE_01211	ILIHOP_01211	True
group_1872	Helicase	NKFIDM_04959	KMIGAE_04959	ILIHOP_04959	True
group_1871	Helix-turn-helix domain protein	NKFIDM_04911	KMIGAE_04911	ILIHOP_04911	True
group_1851	Branched-chain amino acid transport system / permease component family protein	NKFIDM_01210	KMIGAE_01210	ILIHOP_01210	True
group_1850	F0F1-type ATP synthase	NKFIDM_01121	KMIGAE_01121	ILIHOP_01121	True
cas1b	type I-B CRISPR-associated endonuclease Cas1b	NKFIDM_01397	KMIGAE_01397	ILIHOP_01397	True
group_1839	hypothetical protein	NKFIDM_06610	KMIGAE_06610	ILIHOP_06610	True
group_1820	Phage late control D family protein	NKFIDM_03588	KMIGAE_03588	ILIHOP_03588	True
group_1809	Major capsid protein	NKFIDM_06058	KMIGAE_06058	ILIHOP_06058	True
group_1801	Radical SAM additional 4Fe4S-binding SPASM domain protein	NKFIDM_04530	KMIGAE_04530	ILIHOP_04530	True
group_1796	CobW C-terminal domain-containing protein	NKFIDM_02189	KMIGAE_02189	ILIHOP_02189	True
group_1782	Transposase family protein	NKFIDM_01155	KMIGAE_01155	ILIHOP_01155	True
group_1776	Radical SAM superfamily protein	NKFIDM_04701	KMIGAE_04701	ILIHOP_04701	True
group_1773	GerA spore germination family protein	NKFIDM_03035	KMIGAE_03035	ILIHOP_03035	True
group_1760	GTP-binding protein	NKFIDM_04909	KMIGAE_04909	ILIHOP_04909	True
group_1758	retron-type reverse transcriptase	NKFIDM_03574	KMIGAE_03574	ILIHOP_03574	True
group_1740	TIGR03943 family protein	NKFIDM_04908	KMIGAE_04908	ILIHOP_04908	True
group_1733	Periplasmic binding family protein	NKFIDM_02187	KMIGAE_02187	ILIHOP_02187	True
group_1728	Radical SAM additional 4Fe4S-binding SPASM domain protein	NKFIDM_06427	KMIGAE_06427	ILIHOP_06427	True
group_1727	hypothetical protein	NKFIDM_04685	KMIGAE_04685	ILIHOP_04685	True
group_1714	FecCD transport family protein	NKFIDM_01187	KMIGAE_01187	ILIHOP_01187	True
group_1697	Periplasmic binding s and sugar binding domain of LacI family protein	NKFIDM_01212	KMIGAE_01212	ILIHOP_01212	True
group_1693	Glycosyltransferase	NKFIDM_04688	KMIGAE_04688	ILIHOP_04688	True
group_1689	Periplasmic binding family protein	NKFIDM_01186	KMIGAE_01186	ILIHOP_01186	True
